,0,,,
GNFC,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
GOACARBON,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
GOCLCORP,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
GOCOLORS,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
GODAVARIB,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
GODFRYPHLP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
GODIGIT,Financial Services,Financial Services,Insurance,General Insurance
GODREJAGRO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
GODREJCP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
GODREJIND,Diversified,Diversified,Diversified,Diversified
GODREJPROP,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
GOENKA,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
GOKEX,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
GOKUL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
GOKULAGRO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
GOLDENTOBC,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
GOLDIAM,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
GOLDTECH,Information Technology,Information Technology,IT - Software,Software Products
GOODLUCK,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
GOPAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
GOYALALUM,Services,Services,Commercial Services & Supplies,Trading & Distributors
GPIL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
GPPL,Services,Services,Transport Infrastructure,Port & Port services
GPTHEALTH,Healthcare,Healthcare,Healthcare Services,Hospital
GPTINFRA,Industrials,Construction,Construction,Civil Construction
GRANULES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
GRAPHITE,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
GRASIM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
GRAVITA,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
GREAVESCOT,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
GREENLAM,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
GREENPANEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
GREENPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
GREENPOWER,Utilities,Power,Power,Power Generation
GRINDWELL,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
GRINFRA,Industrials,Construction,Construction,Civil Construction
GRMOVER,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
GROBTEA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
GRPLTD,Industrials,Capital Goods,Industrial Products,Rubber
GRSE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
GRWRHITECH,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
GSFC,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
GSLSU,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
GSPL,Energy,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing
GSS,Information Technology,Information Technology,IT - Services,IT Enabled Services
GTECJAINX,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
GTL,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
GTLINFRA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
GTPL,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
GUFICBIO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
GUJALKALI,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
GUJAPOLLO,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
GUJGASLTD,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
GUJRAFFIA,Industrials,Capital Goods,Industrial Products,Packaging
GUJTHEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
GULFOILLUB,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
GULFPETRO,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
GULPOLY,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
GVKPIL,Industrials,Construction,Construction,Civil Construction
GVPTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
GVT&D,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
HAL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
HAPPSTMNDS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
HAPPYFORGE,Industrials,Capital Goods,Industrial Products,Castings & Forgings
HARDWYN,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
HARIOMPIPE,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
HARRMALAYA,Industrials,Capital Goods,Industrial Products,Rubber
HARSHA,Industrials,Capital Goods,Industrial Products,Other Industrial Products
HATHWAY,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
HATSUN,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
HAVELLS,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
HAVISHA,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
HBLENGINE,Industrials,Capital Goods,Industrial Products,Other Industrial Products
HBSL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
HCC,Industrials,Construction,Construction,Civil Construction
HCG,Healthcare,Healthcare,Healthcare Services,Hospital
HCL-INSYS,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
HCLTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
HDFCAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
HDFCBANK,Financial Services,Financial Services,Banks,Private Sector Bank
HDFCLIFE,Financial Services,Financial Services,Insurance,Life Insurance
HDIL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
HEADSUP,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
HEG,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
HEIDELBERG,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
HEMIPROP,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
HERANBA,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
HERCULES,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HERITGFOOD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
HEROMOTOCO,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
HESTERBIO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
HEUBACHIND,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
HEXATRADEX,Financial Services,Financial Services,Finance,Investment Company
HEXT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
HFCL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
HGINFRA,Industrials,Construction,Construction,Civil Construction
HGS,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
HIKAL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
HIL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
HILTON,Industrials,Capital Goods,Industrial Products,Castings & Forgings
HIMATSEIDE,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
HINDALCO,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
HINDCOMPOS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
HINDCON,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
HINDCOPPER,Commodities,Metals & Mining,Non - Ferrous Metals,Copper
HINDMOTORS,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
HINDNATGLS,Industrials,Capital Goods,Industrial Products,Packaging
HINDOILEXP,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
HINDPETRO,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
HINDUNILVR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
HINDWAREAP,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware
HINDZINC,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc
HIRECT,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HISARMETAL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
HITECH,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
HITECHCORP,Industrials,Capital Goods,Industrial Products,Packaging
HITECHGEAR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
HLEGLAS,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HLVLTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
HMAAGRO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry
HMT,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HMVL,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media
HNDFDS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
HOMEFIRST,Financial Services,Financial Services,Finance,Housing Finance Company
HONASA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
HONAUT,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HONDAPOWER,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HOVS,Information Technology,Information Technology,IT - Services,IT Enabled Services
HPAL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
HPIL,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
HPL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
HSCL,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black
HTMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media
HUBTOWN,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
HUDCO,Financial Services,Financial Services,Finance,Financial Institution
HUHTAMAKI,Industrials,Capital Goods,Industrial Products,Packaging
HYBRIDFIN,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
HYUNDAI,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
ICDSLTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ICICIBANK,Financial Services,Financial Services,Banks,Private Sector Bank
ICICIGI,Financial Services,Financial Services,Insurance,General Insurance
ICICIPRULI,Financial Services,Financial Services,Insurance,Life Insurance
ICIL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ICRA,Financial Services,Financial Services,Capital Markets,Ratings
IDBI,Financial Services,Financial Services,Banks,Private Sector Bank
IDEA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
IDEAFORGE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
IDFCFIRSTB,Financial Services,Financial Services,Banks,Private Sector Bank
IEL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
IEX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
IFBAGRO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
IFBIND,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
IFCI,Financial Services,Financial Services,Finance,Financial Institution
IFGLEXPOR,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
IGARASHI,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
IGIL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
IGL,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
IGPL,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
IIFL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
IIFLCAPS,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
IITL,Financial Services,Financial Services,Finance,Investment Company
IKIO,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
IKS,Information Technology,Information Technology,IT - Services,IT Enabled Services
IL&FSENGG,Industrials,Construction,Construction,Civil Construction
IL&FSTRANS,Industrials,Construction,Construction,Civil Construction
IMAGICAA,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
IMFA,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
IMPAL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Trading - Auto components
IMPEXFERRO,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
INCREDIBLE,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
INDBANK,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
INDGN,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
INDHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
INDIACEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
INDIAGLYCO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
INDIAMART,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
INDIANB,Financial Services,Financial Services,Banks,Public Sector Bank
INDIANCARD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
INDIANHUME,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
INDIASHLTR,Financial Services,Financial Services,Finance,Housing Finance Company
INDIGO,Services,Services,Transport Services,Airline
INDIGOPNTS,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
INDNIPPON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INDOAMIN,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INDOBORAX,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INDOCO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INDOFARM,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors
INDORAMA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
INDOSTAR,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
INDOTECH,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INDOTHAI,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
INDOUS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INDOWIND,Utilities,Power,Power,Power Generation
INDRAMEDCO,Healthcare,Healthcare,Healthcare Services,Hospital
INDSWFTLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INDSWFTLTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INDTERRAIN,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
INDUSINDBK,Financial Services,Financial Services,Banks,Private Sector Bank
INDUSTOWER,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
INFIBEAM,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
INFOBEAN,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
INFOMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
INFY,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
INGERRAND,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INNOVACAP,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INNOVANA,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
INOXGREEN,Utilities,Power,Power,Power Generation
INOXINDIA,Industrials,Capital Goods,Industrial Products,Other Industrial Products
INOXWIND,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INSECTICID,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INSPIRISYS,Information Technology,Information Technology,IT - Services,IT Enabled Services
INTELLECT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
INTENTECH,Information Technology,Information Technology,IT - Services,IT Enabled Services
INTERARCH,Industrials,Construction,Construction,Civil Construction
INTLCONV,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
INVENTURE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
IOB,Financial Services,Financial Services,Banks,Public Sector Bank
IOC,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
IOLCP,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
IONEXCHANG,Utilities,Utilities,Other Utilities,Water Supply & Management
IPCALAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
IPL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
IRB,Industrials,Construction,Construction,Civil Construction
IRCON,Industrials,Construction,Construction,Civil Construction
IRCTC,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
IREDA,Financial Services,Financial Services,Finance,Financial Institution
IRFC,Financial Services,Financial Services,Finance,Financial Institution
IRIS,Information Technology,Information Technology,IT - Software,Software Products
IRISDOREME,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
IRMENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
ISEC,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ISFT,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
ISGEC,Industrials,Construction,Construction,Civil Construction
ISHANCH,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ITC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
ITCHOTELS,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ITDC,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ITDCEM,Industrials,Construction,Construction,Civil Construction
ITI,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
IVC,Financial Services,Financial Services,Capital Markets,Asset Management Company
IVP,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
IWEL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
IXIGO,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
IZMO,Information Technology,Information Technology,IT - Services,IT Enabled Services
J&KBANK,Financial Services,Financial Services,Banks,Private Sector Bank
JAGRAN,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media
JAGSNPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
JAIBALAJI,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
JAICORPLTD,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
JAIPURKURT,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
JAMNAAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JASH,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
JAYAGROGN,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JAYBARMARU,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JAYNECOIND,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
JAYSREETEA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
JBCHEPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
JBMA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JCHAC,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
JETFREIGHT,Services,Services,Transport Services,Logistics Solution Provider
JGCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
JHS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
JINDALPHOT,Financial Services,Financial Services,Finance,Investment Company
JINDALPOLY,Industrials,Capital Goods,Industrial Products,Packaging
JINDALSAW,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
JINDALSTEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
JINDRILL,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
JINDWORLD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
JIOFIN,Financial Services,Financial Services,Finance,Investment Company
JISLDVREQS,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
JISLJALEQS,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
JITFINFRA,Utilities,Utilities,Other Utilities,Water Supply & Management
JKCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
JKIL,Industrials,Construction,Construction,Civil Construction
JKLAKSHMI,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
JKPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
JKTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
JLHL,Healthcare,Healthcare,Healthcare Services,Hospital
JMFINANCIL,Financial Services,Financial Services,Finance,Holding Company
JNKINDIA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
JOCIL,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
JPASSOCIAT,Industrials,Construction,Construction,Civil Construction
JPOLYINVST,Financial Services,Financial Services,Finance,Investment Company
JPPOWER,Utilities,Power,Power,Power Generation
JSFB,Financial Services,Financial Services,Banks,Other Bank
JSL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
JSWENERGY,Utilities,Power,Power,Power Generation
JSWHL,Financial Services,Financial Services,Finance,Investment Company
JSWINFRA,Services,Services,Transport Infrastructure,Port & Port services
JSWSTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
JTEKTINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JTLIND,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
JUBLCPL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JUBLFOOD,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
JUBLINGREA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JUBLPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
JUNIPER,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
JUSTDIAL,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
JWL,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons
JYOTHYLAB,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
JYOTICNC,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
JYOTISTRUC,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
KABRAEXTRU,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
KAJARIACER,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
KAKATCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
KALAMANDIR,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
KALYANI,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
KALYANIFRG,Industrials,Capital Goods,Industrial Products,Castings & Forgings
KALYANKJIL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KAMATHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
KAMDHENU,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
KAMOPAINTS,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
KANANIIND,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KANORICHEM,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
KANPRPLA,Industrials,Capital Goods,Industrial Products,Packaging
KANSAINER,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
KAPSTON,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
KARMAENG,Utilities,Power,Power,Power Generation
KARURVYSYA,Financial Services,Financial Services,Banks,Private Sector Bank
KAUSHALYA,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
KAVVERITEL,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
KAYA,Consumer Discretionary,Consumer Services,Leisure Services,Wellness
KAYNES,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
KBCGLOBAL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KCP,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
KCPSUGIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
KDDL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
KEC,Industrials,Construction,Construction,Civil Construction
KECL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
KEEPLEARN,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
KEI,Industrials,Capital Goods,Industrial Products,Cables - Electricals
KELLTONTEC,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
KERNEX,Services,Services,Transport Services,Transport Related Services
KESORAMIND,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
KEYFINSERV,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
KFINTECH,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
KHADIM,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
KHAICHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
KHAITANLTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
KHANDSE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
KICL,Financial Services,Financial Services,Finance,Investment Company
KILITCH,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
KIMS,Healthcare,Healthcare,Healthcare Services,Hospital
KINGFA,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
KIOCL,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
KIRIINDUS,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
KIRLOSBROS,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
KIRLOSENG,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
KIRLOSIND,Industrials,Capital Goods,Industrial Products,Other Industrial Products
KIRLPNU,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
KITEX,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
KKCL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
KMEW,Services,Services,Engineering Services,Dredging
KMSUGAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
